Time(ms),x,y,z,qx,qy,qz,qw
85925,-1.0113897,-1.6061900,-0.3031200,0.0334802,0.7202150,-0.0013541,0.6939446
85967,-1.0120959,-1.6090137,-0.3070303,0.0234630,0.7212638,0.0071609,0.6930308
85995,-1.0144455,-1.6132708,-0.3139511,0.0119170,0.7218331,0.0185371,0.6932451
86035,-1.0157799,-1.6157929,-0.3185631,0.0046983,0.7220644,0.0243945,0.6930298
86064,-1.0177019,-1.6185291,-0.3245909,-0.0035466,0.7222013,0.0310563,0.6930683
86094,-1.0187590,-1.6191099,-0.3286787,-0.0068126,0.7223259,0.0318865,0.6926984
86131,-1.0197988,-1.6192428,-0.3324164,-0.0084510,0.7223821,0.0310075,0.6924767
86161,-1.0210062,-1.6193582,-0.3366515,-0.0098862,0.7222053,0.0299199,0.6925889
86216,-1.0216780,-1.6185993,-0.3395383,-0.0089831,0.7217596,0.0259455,0.6928778
86230,-1.0231907,-1.6187729,-0.3452248,-0.0113190,0.7214874,0.0243223,0.6931822
86262,-1.0226198,-1.6168891,-0.3446570,-0.0077725,0.7216163,0.0179859,0.6927372
86300,-1.0230676,-1.6161971,-0.3468666,-0.0074250,0.7218765,0.0150209,0.6923890
86341,-1.0235789,-1.6155558,-0.3492515,-0.0067190,0.7221478,0.0121837,0.6920543
86356,-1.0240123,-1.6147561,-0.3514037,-0.0054337,0.7224113,0.0086799,0.6917296
86398,-1.0237876,-1.6137704,-0.3507347,-0.0028024,0.7225581,0.0055217,0.6914826
86427,-1.0243636,-1.6131238,-0.3527082,-0.0017366,0.7226753,0.0027164,0.6913424
86469,-1.0246010,-1.6123775,-0.3529953,0.0003232,0.7225773,0.0000613,0.6914003
86498,-1.0250415,-1.6116451,-0.3541154,0.0021501,0.7223409,-0.0026489,0.6916184
86537,-1.0251884,-1.6110315,-0.3540560,0.0039559,0.7219409,-0.0043400,0.6919951
86566,-1.0255711,-1.6103911,-0.3546224,0.0057146,0.7215464,-0.0062016,0.6923741
86594,-1.0258301,-1.6099067,-0.3546002,0.0073963,0.7211000,-0.0074355,0.6928022
86635,-1.0260048,-1.6094983,-0.3546545,0.0087786,0.7206965,-0.0084586,0.6931899
86665,-1.0262733,-1.6089926,-0.3552355,0.0103313,0.7202492,-0.0099342,0.6936215
86693,-1.0261878,-1.6086001,-0.3554131,0.0117219,0.7198727,-0.0109431,0.6939722
86730,-1.0260795,-1.6082917,-0.3556039,0.0130129,0.7195022,-0.0118593,0.6943167
86762,-1.0260379,-1.6078265,-0.3560120,0.0143555,0.7190178,-0.0130411,0.6947768
86801,-1.0258534,-1.6074054,-0.3563182,0.0156058,0.7184590,-0.0141231,0.6953070
86831,-1.0256422,-1.6068985,-0.3567129,0.0168790,0.7178330,-0.0154177,0.6959023
86861,-1.0252913,-1.6065311,-0.3569608,0.0178946,0.7172166,-0.0164153,0.6964857
86898,-1.0249487,-1.6061680,-0.3572188,0.0189812,0.7166212,-0.0172509,0.6970479
86930,-1.0245603,-1.6057128,-0.3575964,0.0202204,0.7160000,-0.0184573,0.6976259
86968,-1.0240660,-1.6051430,-0.3579240,0.0217181,0.7154558,-0.0198074,0.6981015
86997,-1.0235301,-1.6044328,-0.3583546,0.0235738,0.7149593,-0.0218120,0.6984975
87037,-1.0229341,-1.6036787,-0.3585871,0.0254985,0.7146677,-0.0240227,0.6986538
87066,-1.0222337,-1.6027607,-0.3590068,0.0280038,0.7143018,-0.0268107,0.6988476
